*************************************** Sortowanie babelkowe ***************************************

        N         1         2         3         4         5       œredna 
     1024: 0.003486  0.003414  0.003442  0.003516  0.004222      0.003616
     2048: 0.013874  0.013842  0.016387  0.018820  0.017611      0.016107
     4096: 0.094974  0.068131  0.064083  0.061359  0.060061      0.069722
     8192: 0.300341  0.280424  0.273137  0.272614  0.272764      0.279856
    16384: 1.158428  1.167526  1.167591  1.220617  1.166380      1.176108
    32768: 4.847683  4.855028  4.973095  4.834322  4.832197      4.868465
    65536: 19.905082  19.941497  19.832498  19.643340  19.667277     19.797939
   131072: 80.201734  83.401165  82.111727  82.479304  84.528258     82.544438

 ******************************** Sortowanie przez proste wybieranie ********************************

        N         1         2         3         4         5       œredna 
     1024: 0.001477  0.001459  0.001515  0.001678  0.001566      0.001539
     2048: 0.005867  0.005846  0.005887  0.006389  0.006278      0.006053
     4096: 0.030107  0.028699  0.031270  0.025598  0.025227      0.028180
     8192: 0.102707  0.114083  0.108421  0.122878  0.118733      0.113364
    16384: 0.401091  0.416772  0.400064  0.395235  0.461754      0.414983
    32768: 1.578914  1.575355  1.561593  1.565009  1.565653      1.569305
    65536: 6.252890  6.252264  6.244142  6.251963  6.321018      6.264455
   131072: 25.307185  25.098985  24.703169  24.365877  24.955344     24.886112
   262144: 100.102176  101.384290  97.408359  97.834729  98.301527     99.006216

 ******************************** Sortowanie przez proste wstawianie ********************************

        N         1         2         3         4         5       œredna 
     1024: 0.000794  0.000717  0.000807  0.001024  0.000738      0.000816
     2048: 0.002768  0.002738  0.002713  0.002975  0.002774      0.002793
     4096: 0.017998  0.012701  0.015785  0.012345  0.011601      0.014086
     8192: 0.051314  0.097290  0.063607  0.044606  0.048499      0.061063
    16384: 0.219723  0.214611  0.199851  0.183681  0.187783      0.201130
    32768: 0.794622  0.758982  0.723276  0.730897  0.727140      0.746983
    65536: 2.897216  2.845180  2.945415  2.899502  3.028833      2.923229
   131072: 11.629674  11.601197  11.661540  11.629106  11.640519     11.632407
   262144: 46.549950  47.253937  46.413482  46.473846  47.704447     46.879133

**************************************** Sortowanie Shella *****************************************

        N         1         2         3         4         5       œredna 
     1024: 0.000104  0.000111  0.000104  0.000105  0.000107      0.000106
     2048: 0.000245  0.000250  0.000249  0.000243  0.000248      0.000247
     4096: 0.000551  0.000587  0.000554  0.000548  0.000553      0.000559
     8192: 0.001613  0.001242  0.001234  0.001480  0.001252      0.001364
    16384: 0.002853  0.003287  0.002736  0.004061  0.004669      0.003521
    32768: 0.007808  0.006393  0.006288  0.006179  0.007470      0.006828
    65536: 0.014005  0.014755  0.015081  0.015142  0.014683      0.014733
   131072: 0.033903  0.032386  0.032129  0.035198  0.033621      0.033447
   262144: 0.079378  0.074910  0.073770  0.074908  0.087212      0.078036
   524288: 0.165165  0.160273  0.166801  0.159858  0.164927      0.163405
  1048576: 0.362152  0.379692  0.372305  0.368283  0.360343      0.368555
  2097152: 0.868732  0.787018  0.845924  0.857315  0.818957      0.835589
  4194304: 1.814186  1.833165  1.856357  1.884723  1.893299      1.856346
  8388608: 4.271910  4.263921  4.142396  4.175936  4.550316      4.280896
 16777216: 9.777378  9.466780  9.216497  8.846575  9.746248      9.410695
 33554432: 21.411972  21.304917  22.974449  22.458115  21.313647     21.892620

 **************************************** Sortowanie szybkie ****************************************

        N         1         2         3         4         5       œredna 
     1024: 0.000111  0.000112  0.000115  0.000110  0.000109      0.000112
     2048: 0.000235  0.000230  0.000231  0.000237  0.000233      0.000233
     4096: 0.000507  0.000494  0.000503  0.000745  0.000515      0.000553
     8192: 0.002018  0.001150  0.001089  0.001994  0.001300      0.001510
    16384: 0.002491  0.002497  0.005661  0.002734  0.002373      0.003151
    32768: 0.005384  0.004746  0.005310  0.004919  0.004922      0.005056
    65536: 0.010142  0.010496  0.010761  0.010503  0.010169      0.010414
   131072: 0.023345  0.022124  0.021670  0.022818  0.022657      0.022523
   262144: 0.053181  0.045489  0.044936  0.046255  0.044695      0.046911
   524288: 0.097445  0.097676  0.116458  0.101709  0.095455      0.101749
  1048576: 0.195987  0.205624  0.238677  0.217768  0.195691      0.210749
  2097152: 0.419417  0.411608  0.420595  0.461952  0.429065      0.428527
  4194304: 0.889001  0.899164  0.902436  0.882608  0.994777      0.913597
  8388608: 1.934174  1.870820  2.132186  1.871250  1.836725      1.929031
 16777216: 3.848695  3.801105  3.874379  3.911222  3.889927      3.865066
 33554432: 8.192511  8.138641  8.076218  8.253334  7.960972      8.124335
 67108864: 16.655885  
 
**************************************** Sortowanie kopcowe ****************************************

        N         1         2         3         4         5       œredna 
     1024: 0.000324  0.000345  0.000339  0.000303  0.000293      0.000321
     2048: 0.000769  0.000669  0.000682  0.000702  0.000649      0.000694
     4096: 0.001534  0.001570  0.001532  0.002098  0.001601      0.001667
     8192: 0.003339  0.004078  0.003288  0.003424  0.004309      0.003687
    16384: 0.008326  0.007693  0.007361  0.014181  0.007293      0.008971
    32768: 0.017262  0.016961  0.016497  0.018204  0.022523      0.018289
    65536: 0.035396  0.034319  0.035001  0.036475  0.033192      0.034877
   131072: 0.081585  0.071069  0.075384  0.071300  0.073069      0.074481
   262144: 0.169693  0.159640  0.160596  0.163765  0.159378      0.162615
   524288: 0.344757  0.347106  0.344461  0.345022  0.348424      0.345954
  1048576: 0.761892  0.762169  0.765910  0.769609  0.755398      0.762996
  2097152: 1.733941  1.711846  1.709072  1.716252  1.725971      1.719417
  4194304: 3.895662  3.896068  3.906519  3.887645  3.895572      3.896293
  8388608: 8.885509  8.907280  8.912471  9.149836  8.888480      8.948715
 16777216: 20.356916  20.098030  20.081100  19.746126  19.894525     20.035340
 33554432: 44.126583  44.443199  49.545230  49.328534  51.944804     47.877670

*************************************** Sortowanie std::sort ***************************************

        N         1         2         3         4         5       œredna 
     1024: 0.001498  0.001449  0.001168  0.001556  0.001312      0.001397
     2048: 0.002996  0.003004  0.004194  0.002830  0.003359      0.003277
     4096: 0.007308  0.008745  0.007147  0.006525  0.006317      0.007208
     8192: 0.013148  0.012345  0.015781  0.018059  0.014493      0.014765
    16384: 0.029028  0.029012  0.031345  0.030626  0.033201      0.030642
    32768: 0.058983  0.077702  0.059559  0.076796  0.058136      0.066235
    65536: 0.133547  0.125723  0.136054  0.129478  0.134219      0.131804
   131072: 0.289981  0.269428  0.277412  0.292368  0.276038      0.281045
   262144: 0.590218  0.602908  0.568018  0.571171  0.570327      0.580528
   524288: 1.205993  1.216907  1.236490  1.203905  1.225801      1.217819
  1048576: 2.550152  2.604058  2.502679  2.563929  2.547552      2.553674
  2097152: 5.362699  5.316755  5.423301  5.418637  5.615594      5.427397
  4194304: 11.942199  11.492320  11.651974  11.992850  11.431239     11.702116
  8388608: 24.294444  24.506560  23.684825  23.531256  23.779082     23.959234
 16777216: 49.546196  50.220678  50.365239  50.531961  51.310623     50.394940

  






 ***************************** Sortowanie babelkowe - dane posortowane ******************************

        N         1         2         3         4         5       œredna 
     1024: 0.003317  0.003131  0.003132  0.003599  0.003481      0.003332
     2048: 0.014862  0.013158  0.012928  0.019993  0.014197      0.015028
     4096: 0.055071  0.050055  0.052869  0.059474  0.056709      0.054836
     8192: 0.227758  0.206281  0.209482  0.204537  0.207949      0.211201
    16384: 0.806739  0.797139  0.817344  0.871733  0.882115      0.835014
    32768: 3.439610  3.376843  3.232901  3.127654  3.137731      3.262948
    65536: 12.476832  12.601103  12.615970  12.619226  12.624110     12.587448
   131072: 50.512158  50.459293  50.468502  50.507332  50.541721     50.497801

 ******************************* Sortowanie Shella - dane posortowane *******************************

        N         1         2         3         4         5       œredna 
     1024: 0.000019  0.000043  0.000018  0.000018  0.000018      0.000023
     2048: 0.000045  0.000043  0.000047  0.000046  0.000047      0.000046
     4096: 0.000102  0.000138  0.000098  0.000106  0.000101      0.000109
     8192: 0.000236  0.000215  0.000218  0.000260  0.000218      0.000229
    16384: 0.000508  0.000479  0.000534  0.000498  0.000489      0.000502
    32768: 0.001109  0.001236  0.001088  0.001105  0.001151      0.001138
    65536: 0.002283  0.002381  0.003028  0.002493  0.002252      0.002487
   131072: 0.005071  0.015473  0.004904  0.005321  0.005298      0.007213
   262144: 0.010222  0.009968  0.010278  0.009935  0.010705      0.010222
   524288: 0.022208  0.022434  0.022763  0.021738  0.022800      0.022389
  1048576: 0.048496  0.048930  0.049892  0.049812  0.049026      0.049231
  2097152: 0.099375  0.098097  0.098946  0.096536  0.098707      0.098332
  4194304: 0.213629  0.215622  0.212853  0.212731  0.214005      0.213768
  8388608: 0.453648  0.452355  0.453077  0.451635  0.454908      0.453125
 16777216: 0.921799  0.925973  0.919183  0.917703  0.924623      0.921856
